size,create_time,decomp_time,peak_delta_mb
1024,0.0063253422267735004,0.0318184420466423,111.609375
4096,0.008669787086546421,0.05542117031291127,111.58984375
16384,0.014441866893321276,0.08142995089292526,111.96484375
65536,0.03269137581810355,0.16028631571680307,112.52734375
262144,0.11669996287673712,1.001736540812999,112.64453125
1048576,0.3141861748881638,3.7029140810482204,135.125
4194304,0.8338676849380136,4.424545770976692,284.015625
