size,create_time,decomp_time,peak_mb
1024,0.006508235819637775,0.03636234812438488,2156.07421875
4096,0.009933286812156439,0.05744382878765464,2156.28125
16384,0.01515047112479806,0.08568817982450128,2156.65234375
65536,0.03431733697652817,0.16273034596815705,2156.96875
262144,0.11680369591340423,1.008261273149401,2157.15234375
1048576,0.3305125469341874,3.7720469660125673,2179.4296875
4194304,0.9040411738678813,5.394759492948651,2328.5078125
